"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10251","[Negative] Verify ""Delete Account"" Option Is Not Available for Device ID Users @[115339] @device @ui","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/device-id-my-account-and-edit.spec.js","",""
"","2064","Verify user is redirected to Device ID verification page from invitation link @[118453] @device @ui","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/create-account-onboard-device-id.spec.js","",""
"","5619","Verify View on Edit Daily Availability Modal @[111232] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-calendar.spec.js","",""
"","3730","Verify Content on ""Create New Password"" Page @[114524] @unauthenticated @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/create-new-password.spec.js","",""
"","7218","Verify Phone number field and Country Dropdown @[111255] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","7593","Verify Edit Profile View for Device ID User Displays Correct Fields @[115334] @device @ui","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/device-id-my-account-and-edit.spec.js","",""
"","2249","Verify Email Registration Validation @[117369] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","8754","Verify First-Time Login Triggers EULA Screen for Device ID @[115317] @device @functional","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/create-account-onboard-device-id.spec.js","",""
"","15206","Verify State dropdown functionality in Edit License to Practice modal @[111211] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-license-to-practice.spec.js","",""
"","3121","Verify password visibility toggle on ""Create New Password"" Page @[114526] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/create-new-password.spec.js","",""
"","7449","Highlight invalid values on Save Changes @[111261] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","6833","Verify Upload Photo Functionality @[111246] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-my-account.spec.js","",""
"","5037","Verify Edit Button Functionality for Profile Details @[111248] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-my-account.spec.js","",""
"","10795","Verify Calendar selection tool date restrictions @[111264] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","3448","[Negative] Verify change password requirements - (missing uppercase letter) @[114529] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/create-new-password.spec.js","",""
